label	text
1	最后一千八百本书加三百三钻石30元,可以先货
0	觉的太贵还不如买堆水果吃
0	老子700钻石
0	存点银子明天把皇帝罢免了
0	这个组合有点快乐
0	爱奇艺会元一个月14,腾,讯9元,优酷,搜狐乐视,芒果8元有需要的请加微信18306874502
0	打来打去还是停在20星
0	lowb你刚刚拿个劲呢
1	1比40需要的密,全区最高比例,9以上的来,长期客户来,安全第一,记者勿扰,元宝元宝元宝元宝
0	但对率太低才1.2万，没办法，没银商
0	金币买的话，还得在多打一会就算了，想睡觉
1	卖元宝45元卖515元宝,要的密加微信先发红包
0	狄仁杰我可以
0	你俩血池喊666
0	在哪里卖
0	5楼会视野就报楼
1	出字五毛一个.需要的老板滴滴我
0	等下风尘要推了我们柱子我们先不管最后一分钟在回来推
0	估计也是混上去的
0	110400把你成马蜂窝卖软件你懂的要的加
0	带,优惠,优惠,绝对便宜,秘境,秘境,需要的加1692009621,秘境,秘境,绝对便宜
0	脱妹妹ck
0	不要貂蝉
1	银300w1比1.4w来懂和会的老板带足材料私可长期
1	大量现货,需要元宝的加微z4721501长期,货到付,高战优先
1	出字,最后一天了啊,一个一块,管够,十个任选,要的滴滴
0	w s我也是
0	金币凑了7000够吗
1	75=1140点券,要的加我
0	我才10级
0	还差几400左右上中级榜
1	27127.海豚YB阁,海豚小班助你战力狂飙,求微374583830331
0	刚刚他撞金币呢
1	33.海豚YB阁,海豚小班助你战力狂飙,求微37458383012033
0	带个弱化吧。
0	憨批队友
0	开全对语音
0	85转身淡然了1元000钻加q825555090帮你
0	1:50收yxb目前还差2亿来个搬钻大户支持小额交易不先顺便卖十10佩鲁斯的荣誉代价来
1	出售80万死兵积分4块10万分,扣加成的莫私聊
1	半价出圆宝需要的滴滴喇叭时装都阔以
0	来玩剑侠嘛仿官府上线v9充值比例是官服100倍
1	出100多w银子要的老板滴滴
0	今天什么情况?一张卡片都没有
1	带充6折五十等于一千绑元先货大量出银包悟性10材料我出加wb13314899345
0	有你萌我放心了
0	一到晚上，都是要滴滴cp的，无情啊的
0	我就想蹲队友带我躺
1	正规渠道200元有5万点卷加5万钻石要的加q859945704先给
0	第一你经验最多加油
1	1530.粮66食百事可乐卫零3435
0	几百金币又不多
0	金币这么少
0	想看一下是不是骗人的
1	dyc额p给s加y1元八万元宝送蓝水晶紫水晶ss级同伴十扣:204744234
1	出新收礼包包含元宝座骑积分宝石有要的老板联系先货骗子走开
0	俺老妈在我隔壁
0	我是说对面反野。
0	九月一般都会合
0	噗哈哈哈哈哈哈哈滴cp的，性别别卡太死hhhh
0	李英豪我爱你。我想跟你**
0	不禁英雄，去下厕所
